monument_id,name_tr,name_en,type_tr,type_en,date_ce,city_tr,city_en,lat,lon,dynasty_id,patron_ruler,unesco,status,significance,notes_tr,notes_en
1,Mescid-i Nebevî,Prophet's Mosque,Cami,Mosque,622,Medine,Medina,24.47,39.61,1,Hz. Muhammed,Hayır,Aktif,Kritik,İslam'ın ikinci kutsal mescidi; birçok kez genişletildi,Second holiest mosque in Islam; expanded many times
2,Mescid-i Aksâ,Al-Aqsa Mosque,Cami,Mosque,705,Kudüs,Jerusalem,31.78,35.24,2,Abdülmelik / Velîd I,Evet,Aktif,Kritik,İslam'ın üçüncü kutsal mescidi; İsrâ ve Mi'rac,Third holiest mosque; Night Journey destination
3,Kubbetü's-Sahra,Dome of the Rock,Türbe/Anıt,Shrine,691,Kudüs,Jerusalem,31.78,35.24,2,Abdülmelik b. Mervân,Evet,Aktif,Kritik,İslam'ın ilk büyük anıtsal yapısı; sekizgen plan,First major Islamic monument; octagonal plan
4,Emevî Camii (Şam),Umayyad Mosque (Damascus),Cami,Mosque,715,Şam,Damascus,33.51,36.31,2,Velîd I,Evet,Aktif,Kritik,İslam mimarisinin ilk başyapıtlarından; mozaikler,One of the first masterpieces of Islamic architecture
5,Hırbet el-Mefcer (Hişâm Sarayı),Khirbat al-Mafjar,Saray,Palace,743,Eriha,Jericho,31.88,35.46,2,Hişâm / II. Velîd,Hayır,Harabe,Yüksek,Emevî çöl sarayı; zengin stuko süslemeler,Umayyad desert palace; rich stucco decoration
6,Kayrevan Ulu Camii,Great Mosque of Kairouan,Cami,Mosque,670,Kayrevan,Kairouan,35.68,10.1,2,Ukbe b. Nâfi,Evet,Aktif,Kritik,Kuzey Afrika'nın en eski camii; Mağrib mimarisinin modeli,Oldest mosque in North Africa; model for Maghreb architecture
7,Bağdat Yuvarlak Şehir,Round City of Baghdad,Şehir,City,762,Bağdat,Baghdad,33.31,44.37,3,Mansûr,Hayır,Yıkık,Kritik,Abbâsî başkenti; dairesel planlı şehir; Bâbü's-Selâm,Abbasid capital; circular city plan; Gate of Peace
8,Sâmarrâ Ulu Camii (Melviye),Great Mosque of Samarra,Cami,Mosque,851,Sâmarrâ,Samarra,34.21,43.88,3,Mütevekkil,Evet,Harabe,Kritik,Dünyanın en büyük camilerinden; spiral minare (Melviye),One of world's largest mosques; spiral minaret (Malwiya)
9,İbn Tolun Camii,Mosque of Ibn Tulun,Cami,Mosque,879,Kahire,Cairo,30.03,31.25,25,Ahmed b. Tolun,Evet,Aktif,Kritik,Kahire'nin en eski camii; Sâmarrâ etkisi; spiral minare,Oldest mosque in Cairo; Samarra influence
10,el-Ezher Camii,Al-Azhar Mosque,Cami/Üniversite,Mosque/University,972,Kahire,Cairo,30.05,31.26,27,Cevher es-Sıkıllî,Evet,Aktif,Kritik,Dünyanın en eski üniversitelerinden; hâlâ faal,One of world's oldest universities; still active
