dynasty_id,dynasty_name_tr,dynasty_name_ar,dynasty_name_en,parent_tribe_or_clan,ethnic_origin,region_primary,regions_all,capital_city,date_start_hijri,date_end_hijri,date_start_ce,date_end_ce,sub_branch,allied_dynasties,rival_dynasties,predecessor,successor,end_cause,migration_conquest_notes,chapter,notes,ethnic_tags,government_type,religious_orientation,importance_level,capital_lat,capital_lon,duration_years_approx,century_start,century_end,geographic_zone,region_center_lat,region_center_lon,region_bbox_n,region_bbox_s,region_bbox_e,region_bbox_w,governance_detail,religious_detail,military_system,economic_base,cultural_tags,historical_period
1,Râşidûn Halifeleri,al-Khulafā' al-Rāshidūn,The Rightly-Guided or 'Patriarchal' or 'Orthodox' Caliphs,Quraysh,Arap,Hicaz - Medine (Medina),Hicaz; Suriye; Filistin; Mısır; Irak; İran; Bahreyn; Umman; Yemen,Medine (Medina); Kûfe (Kūfa) (Ali döneminde),11,40,632,661,,,Emevîler (Mu'āwiya); Hâricîler (Khārijīs),Hz. Muhammed (Peygamber dönemi),Emevî Halifeleri,Hz. Ali'nin Hâricî bir suikastçı tarafından öldürülmesi; Hasan'ın halifelikten çekilmesi,"Ridde Savaşları ile Arabistan birliği sağlandı; Suriye, Filistin, Mısır, Irak ve İran fethedildi",Chapter 1: The Caliphs,"Dört halife: Ebû Bekir, Ömer, Osman, Ali. Sonraki yüzyıllarda altın çağ olarak idealize edildi.",Arap,Hilafet,,Yüksek,24.47,39.61,29,7,7,Arap Yarımadası,27.0,42.0,38.0,12.0,60.0,25.0,Merkezi İmparatorluk,Sünnî (erken İslam),Kabile Ordusu,Haraç/Vergi,Sikke,Râşidîn
2,Emevî Halifeleri,al-Umawiyyūn,The Umayyad Caliphs,Quraysh - Umayya / 'Abd Shams,Arap,Suriye - Şam (Damascus),Suriye; Irak; Mısır; Kuzey Afrika; İspanya; Horasan; Mâverâünnehir; Sind; Ermenistan; Kafkasya,Şam (Damascus),41,132,661,750,Sufyānids; Marwānids,,Zübeyrîler (Zubayrids); Hâricîler (Khārijīs); Ehl-i Beyt / Alevîler ('Alids); Abbâsîler,Râşidûn Halifeleri,Abbâsî Halifeleri,"Abbâsî devrimi (Horasan isyanı, Ebû Müslim liderliğinde)","'Abd al-Rahmān İspanya'ya kaçtı → Endülüs Emevîleri; Kuzey Afrika, İspanya, Mâverâünnehir, Sind fetihleri",Chapter 1: The Caliphs,"En büyük üç halife: Mu'āwiya, 'Abd al-Malik, Hishām. Sikke basan halifeler işaretli (o).",Arap,Hilafet,,Normal,33.51,36.29,89,7,8,Mısır/Şam,33.0,30.0,45.0,15.0,75.0,-10.0,Merkezi İmparatorluk,Sünnî (erken İslam),Kabile Ordusu,Haraç/Vergi,Mimari;Sikke,Emevî
3,Abbâsî Halifeleri,al-'Abbāsiyyūn,The 'Abbasid Caliphs,Quraysh - Hāshim (Hz. Peygamber'in amcası al-'Abbās'ın soyundan),Arap,Irak - Bağdat (Baghdad),Irak; İran; Suriye; Mısır; Hicaz; Horasan; Mâverâünnehir (başlangıçta); Kahire (sonraki dönem),Bağdat (Baghdad); Sāmarrā; Kahire (Cairo) (659-923/1261-1517),132,923,750,1517,"Irak ve Bağdat halifeleri; Halep, Harran ve kuzey Suriye halifesi; Kahire halifeleri",Selçuklular (Seljuqs); Memlükler (Mamluks),Emevîler (İspanya); Fâtımîler (Fatimids); Alevîler ('Alids); Büveyhîler (Būyids),Emevî Halifeleri,Osmanlı İmparatorluğu (Kahire'nin fethi 923/1517),Bağdat: Moğol istilası 656/1258; Kahire: Osmanlı fethi 923/1517,Başkent Şam'dan Irak'a (Bağdat) taşındı; 659/1261'de Kahire'de Memlük himayesinde yeniden kuruldu,Chapter 1: The Caliphs,8.-11. yy İslam medeniyetinin altın çağı. Kahire dönemi sembolik/meşruiyet sağlayıcı.,Arap,Hanedan/Beylik,,Yüksek,33.31,44.37,767,8,16,Irak/Cezîre,33.0,40.0,42.0,13.0,75.0,-10.0,Merkezi İmparatorluk,Sünnî Hanefî,Karma Profesyonel,Ticaret/Transit,Kütüphane;Edebiyat;Bilim/Rasathane;Mimari;Sikke,Erken Abbâsî
4,Endülüs Emevîleri,Banū Umayya fī al-Andalus,The Spanish Umayyads,Quraysh - Umayya (Marwānid kolu),Arap,İber Yarımadası - Endülüs (al-Andalus),İspanya (Kuzey Hristiyan krallıkları hariç); Balear Adaları; Kuzey Afrika'da etkili,Kurtuba (Cordova / Qurtuba); İşbiliye (Seville / Ishbīliya),138,422,756,1031,,,Fâtımîler (Fatimids); Kuzey İspanya Hristiyan krallıkları; Hammûdîler,Doğu Emevîleri (Abbâsî devriminden kaçış),Mülûkü't-Tavâif (Taifa beylikleri),İç çekişmeler; Âmirîd hâciplerin çöküşü; siyasi parçalanma,'Abd al-Rahmān I (al-Dākhil) Abbâsî katliamından kaçarak 138/756'da İspanya'da emirlik kurdu; 92/711'de Müslüman Arap-Berber kuvvetleri Vizigotları yendi,Chapter 2: Spain,'Abd al-Rahmān III (300-350/912-961) 50 yıl hüküm sürdü; halife unvanını aldı. Hâcib İbn Ebî Âmir (al-Mansūr/Almanzor) dönemi önemli. Kurtuba İslam kültür merkezi.,Arap,Hilafet,,Normal,37.88,-4.77,275,8,11,Batı İslam (İspanya/Mağrib),37.5,-4.0,44.0,30.0,3.0,-10.0,Merkezi İmparatorluk,Sünnî Mâlikî,Karma Profesyonel,Tarım,UNESCO Miras;Mimari;Edebiyat;Bilim/Rasathane,Emevî
5,Mülûkü't-Tavâif (Teyfe Beylikleri),al-Mulūk al-Tawā'if,The Mulūk al-Tawā'if or Reyes de Taifas in Spain,"Çeşitli (Arap, Berber, Sakalibe)",Arap; Berber; Sakalibe (Slav),Orta ve güney İspanya,Endülüs geneli; Ceuta; Balear Adaları,"Çeşitli (İşbiliye, Gırnata, Tuleytula, Sarakusta, Belensiye vb.)",c. 400,c. 550,c. 1009,c. 1155,1. Hammûdîler (Mâlaga); 2. Hammûdîler (Ceuta); 3. Abbâdîler (İşbiliye); 4. Benî Birzâl (Carmona); 5. Benî Hazrûn (Arcos); 6. Zîrîler (Gırnata); 7. Benî Sumâdih (Meriye); 8. Benî Mücâhid (Dâniye ve Mayorka); 9. Mayorka hükümdarları; 10. Cehverîler (Kurtuba); 11. Kurtuba (Murâbıt-Muvahhid arası); 12. Eftasîler (Batalyevs); 13. Zü'n-Nûnîler (Tuleytula); 14. Âmirîler (Belensiye); 15. Belensiye (Murâbıt-Muvahhid arası); 16. Tücîbîler (Sarakusta); 17. Hûdîler (Sarakusta vb.); 18. Mürsiye hükümdarları,,Murâbıtlar (Almoravids); Muvahhidler (Almohads); Hristiyan İspanya krallıkları,Endülüs Emevîleri,Murâbıtlar (Almoravids),Murâbıt fethi (çoğu 484/1091 civarı); ikinci dalga Muvahhid fethi sonrasında,Tuleytula 478/1085'te Alfonso VI'ya düştü; Murâbıtlar Zallâka zaferi (479/1086) sonrası neredeyse tüm teyfeleri ortadan kaldırdı,Chapter 2: Spain,39 civarı bağımsız beylik; siyasi parçalanma ile birlikte büyük kültürel parlama dönemi. David Wasserstein'in listesi.,Arap|Berber,Beylik,,Normal,37.38,-5.99,146,11,12,Batı İslam (İspanya/Mağrib),38.0,-3.5,41.0,36.0,0.0,-7.0,Şehir Devleti,Karışık,Karma Profesyonel,Tarım,Edebiyat;Mimari,Selçuklu Çağı
6,Benî Gâniye,Banū Ghāniya,The Banū Ghāniya,Sanhāja Berber (Massūfī),Berber (Sanhāja),Balear Adaları (Mayorka),Balear Adaları; Doğu Mağrib (İfrîkıye bölgesinde faaliyetler),Mayorka (Majorca / Mayūrqa),520,599,1126,1203,,Murâbıtlar (Almoravids) (soy bağı),Muvahhidler (Almohads); Aragon Krallığı,Murâbıtlar (Balear Adaları valileri),Muvahhidler; ardından 627-8/1230-1 Aragon fethi,Muvahhid işgali (600/1203); ardından Aragon Kralı I. Jaume fethi,'Alī b. Ishāq Balear'dan ayrılıp doğu Mağrib'de Muvahhidlere karşı savaştı; Yahyā b. Ishāq İfrîkıye'de uzun süre istikrarsızlık yarattı,Chapter 2: Spain,Murâbıt prensesi Ghāniya'dan isim aldı. Korsanlıkla zenginleşti. 80 yıl Balear'ı kontrol etti.,Berber,Hanedan/Beylik,,Normal,39.57,2.65,77,12,13,Batı İslam (İspanya/Mağrib),39.5,2.6,40.0,38.5,4.5,1.0,Vasal Devlet,Sünnî Mâlikî,Karma Profesyonel,Deniz Ticareti,,Selçuklu Çağı
7,Nasrîler (Benü'l-Ahmer),Banū 'l-Ahmar / al-Nasriyyūn,The Nasrids or Banū 'l-Ahmar,Medineli Ensâr soyundan (iddiaya göre),Arap,Gırnata (Granada),"Granada; Málaga; Almería; kısmen Cádiz, Jaén, Murcia",Gırnata (Granada) - el-Hamrâ (Alhambra),629,897,1232,1492,,Merînîler (Marinids) (zaman zaman),Kastilya-León Krallığı; Aragon Krallığı; Merînîler (zaman zaman rakip),Muvahhidler (Almohads),İspanya Krallığı (Reconquista),İspanyol Reconquista; Gırnata'nın 897/1492'de teslimi,"Muvahhid çöküşü sonrası güney İspanya'nın dağlık bölgesini ele geçirdi; son Müslüman İspanya devleti; Muhammed XII (Boabdil) 897/1492'de Gırnata'yı teslim etti, ardından Fas'a geçti",Chapter 2: Spain,260 yıl varlığını sürdürdü; Alhambra Sarayı; İbn Haldûn diplomatlık yaptı; Lisânüddin İbnü'l-Hatîb veziri ve tarihçisi. 15. yy'da şiddetli iç çatışmalar. Son dönem kronolojisi Hristiyan kaynaklarından.,Arap,Hanedan/Beylik,,Normal,37.18,-3.59,260,13,15,Batı İslam (İspanya/Mağrib),37.2,-3.6,38.5,36.5,-1.5,-6.0,Vasal Devlet,Sünnî Mâlikî,Karma Profesyonel,Tarım,UNESCO Miras;Mimari;Edebiyat,Moğol Sonrası
8,İdrîsîler,al-Adārisa,The Idrīsids,Ehl-i Beyt (al-Hasan b. 'Alī soyundan),Arap (Şerif/Hasanî),Fas (Fas/Fez) ve Kuzey Batı Mağrib,Fas; Kuzey Batı Mağrib; Rif; Volubilis (Walīla),Fez (Madīnat Fās),172,375,789,985,Ana kol (Fez); Rif kolu (Hajar al-Nasr); Tamdult kolu,Endülüs Emevîleri (zaman zaman),Fâtımîler; Miknāsa Berberleri (Mūsā b. Abī 'l-'Āfiya),,Fâtımî hâkimiyeti; ardından Hammûdîler (İspanya'da uzak kol),Fâtımî baskısı; Endülüs Emevî müdahalesi; son hükümdar öldürüldü (375/985),İdris I Hicaz'daki Alevî isyandan kaçarak Kuzey Afrika'ya geldi (169/786); Zanāta Berber reisleri onu lider tanıdı,Chapter 3: North Africa,Mağrib'e Şiîliği getirmeye çalışan ilk hanedan; Fez şehrini kurdu; Şürefa geleneğinin başlangıcı; İslam kültürünün Berberlere yayılmasında önemli,Arap,Hanedan/Beylik,Şiî,Normal,34.03,-5.0,196,8,10,Kuzey Afrika,33.5,-4.5,36.0,30.0,-1.0,-8.0,Kabile Konfederasyonu,Şiî Zeydî,Kabile Ordusu,Ticaret/Transit,Mimari,Erken Abbâsî
9,Rüstemîler,al-Rustamiyyūn,The Rustamids,Fars kökenli (uydurma Sâsânî soyu),Fars,Tahert (Tāhart) - Batı Cezayir,Batı Cezayir; Aurés; Güney Tunus; Cebelinefûsa bağlantıları,"Tahert (Tāhart, bugünkü Tiaret yakını)",161,296,778,909,,Endülüs Emevîleri,İdrîsîler; Ağlebîler; Fâtımîler,,Fâtımî fethi,Fâtımî dāʿī Ebū 'Abdallāh'ın Kutāma Berberleriyle saldırısı (296/909),İbâdî İmam 'Abd al-Rahmān 144/761'de Tahert'i kurdu; trans-Sahra kervan yollarının kuzey terminüsü,Chapter 3: North Africa,Hâricî İbâdiyye mezhebinin merkezi; 'Mağrib'in Irak'ı' lakabı; kozmopolit nüfus; hiç sikke bulunmamış,Karışık/Bilinmeyen,Hanedan/Beylik,Hâricî,Normal,35.38,1.32,131,8,10,Kuzey Afrika,34.5,1.5,36.5,32.0,4.0,-2.0,Teokratik Devlet,Hâricî İbâdî,Kabile Ordusu,Ticaret/Transit,,Erken Abbâsî
10,Midrârîler,Banū Midrār,The Midrārids,Miknāsa Berberleri,Berber (Miknāsa),Sicilmâsa (Sijilmāsa) - Güneydoğu Fas,Sijilmāsa; Sahra kenarı,Sicilmâsa (Sijilmāsa),208,366,823,977,,Rüstemîler (mezhep bağı); Endülüs Emevîleri (geç dönem),Fâtımîler,,Maghrāwa Berber reisi Khazrūn'un hâkimiyeti,Maghrāwa kabilesi reisi Khazrūn son Midrârî'yi öldürdü (c. 366/977),Trans-Sahra ticaret geliri; Batı Afrika'dan gelen kervan ticaretinin kuzey terminüsü,Chapter 3: North Africa,Süfrî Hâricî inancı; Muhammad b. Wāsūl Mālikī Sünniliğe geçti ve halife unvanı aldı; buna Fâtımîler tepki gösterdi,Berber,Hilafet,Hâricî,Normal,31.28,-4.28,154,9,10,Kuzey Afrika,31.5,-4.0,33.0,29.0,-2.0,-6.0,Şehir Devleti,Hâricî İbâdî,Kabile Ordusu,Ticaret/Transit,Sikke,Erken Abbâsî
