battle_id,name_tr,name_en,date_ce,date_hijri,lat,lon,location_tr,dynasty_id_1,role_1,dynasty_id_2_or_enemy,role_2,battle_type,significance,result_summary,related_ruler_ids
1,Bedir Savaşı,Battle of Badr,624,2,23.74,38.79,"Bedir, Hicaz",,,,,Meydan Muharebesi,Kritik,Müslümanların ilk büyük zaferi; Kureyş ordusuna karşı,
2,Uhud Savaşı,Battle of Uhud,625,3,24.5,39.61,"Uhud Dağı, Medine",,,,,Meydan Muharebesi,Yüksek,Kureyş karşı saldırısı; kısmî mağlubiyet,
3,Hendek Savaşı,Battle of the Trench,627,5,24.47,39.61,Medine,,,,,Kuşatma,Yüksek,Medine savunması; koalisyon geri çekildi,
4,Yermük Savaşı,Battle of Yarmouk,636,15,32.78,36.02,"Yermük Vadisi, Suriye",1,Galip,Bizans,,Meydan Muharebesi,Kritik,Suriye'nin İslam fethini kesinleştirdi,1-002
5,Kādisiye Savaşı,Battle of al-Qadisiyyah,636,15,32.05,44.52,"Kādisiye, Irak",1,Galip,Sâsânî İmparatorluğu,,Meydan Muharebesi,Kritik,Sâsânî ordusunu yıktı; Irak fethi başladı,1-002
6,Nihâvend Savaşı,Battle of Nihavand,642,21,34.19,48.39,"Nihâvend, İran",1,Galip,Sâsânî İmparatorluğu,,Meydan Muharebesi,Kritik,Fethu'l-fütûh; Sâsânî İmparatorluğu'nun sonu,1-002
7,Cemel Vak'ası,Battle of the Camel,656,36,30.51,47.81,"Basra, Irak",1,Galip (Ali),"Muhalefet (Âişe, Talha, Zübeyr)",,İç Savaş,Kritik,İlk fitne; Hz. Ali'nin zaferi,1-004
8,Sıffîn Savaşı,Battle of Siffin,657,37,35.95,38.98,"Sıffîn, Suriye (Fırat kıyısı)",1,Belirsiz,Mu'āwiya kuvvetleri,,İç Savaş,Kritik,Ali-Muaviye anlaşmazlığı; tahkim olayı; Hâricîler ayrıldı,1-004
9,Kerbelâ Faciası,Battle of Karbala,680,61,32.62,44.02,"Kerbelâ, Irak",2,Galip,Hz. Hüseyin ve taraftarları,,Meydan Muharebesi,Kritik,Hz. Hüseyin'in şehit edilmesi; Sünnî-Şiî ayrılığının derinleşmesi,2-002
10,Zâb Savaşı,Battle of the Zab,750,132,35.87,43.74,"Büyük Zab Nehri, Irak",3,Galip,2,Mağlup,Meydan Muharebesi,Kritik,Abbâsî devrimi; Emevî Halifeliği'nin sonu,
11,Poitiers (Balâtüşşühedâ) Savaşı,Battle of Tours/Poitiers,732,114,46.58,0.35,"Poitiers, Fransa",2,Mağlup,Frank Krallığı (Charles Martel),,Meydan Muharebesi,Kritik,İslam'ın Avrupa'daki en ileri noktası; geri çekilme,
12,Talas Savaşı,Battle of Talas,751,133,42.52,72.23,"Talas Nehri, Orta Asya",3,Galip,Tang Çin Hanedanı,,Meydan Muharebesi,Yüksek,İslam'ın Orta Asya hakimiyetini pekiştirdi; kâğıt teknolojisi transferi,
13,Zellâka Savaşı,Battle of Sagrajas/Zallaqa,1086,479,38.88,-6.97,"Zellâka, İspanya",14,Galip,Kastilya Krallığı (VI. Alfonso),,Meydan Muharebesi,Yüksek,Murâbıtlar İspanya'ya geçti; Reconquista durduruldu,
14,Hıttîn Savaşı,Battle of Hattin,1187,583,32.8,35.44,"Hıttîn, Filistin",30,Galip,Haçlılar (Kudüs Krallığı),,Meydan Muharebesi,Kritik,Salâhaddîn Eyyûbî'nin zaferi; Kudüs'ün geri alınması,
15,Arsuf Savaşı,Battle of Arsuf,1191,587,32.19,34.79,"Arsuf, Filistin",30,Mağlup,III. Haçlı Seferi (I. Richard),,Meydan Muharebesi,Normal,Richard'ın kıyı zaferi; ama Kudüs alınamadı,
16,Mansûra Savaşı,Battle of Mansurah,1250,648,31.04,31.38,"Mansûra, Mısır",31,Galip,VII. Haçlı Seferi (IX. Louis),,Meydan Muharebesi,Yüksek,Memlûklerin yükselişi; Louis esir alındı,
17,Ayncelût Savaşı,Battle of Ain Jalut,1260,658,32.56,35.32,"Ayncelût, Filistin",31,Galip,Moğol İmparatorluğu (Ketbuğa),,Meydan Muharebesi,Kritik,Moğol ilerleyişinin durdurulması; İslam dünyasının kurtarılması,
18,Dandânakan Savaşı,Battle of Dandanaqan,1040,431,36.18,62.17,"Dandânakan, Horasan",91,Galip,158,Mağlup,Meydan Muharebesi,Kritik,Selçukluların Gaznelileri yenilgiye uğratması; Büyük Selçuklu Devleti'nin kuruluşu,
19,Malazgirt Savaşı,Battle of Manzikert,1071,463,39.14,43.54,"Malazgirt, Muş",91,Galip,Bizans İmparatorluğu (IV. Romanos),,Meydan Muharebesi,Kritik,Anadolu kapılarının Türklere açılması,
20,Myriokephalon Savaşı,Battle of Myriokephalon,1176,572,38.07,30.24,"Myriokephalon, Anadolu",94,Galip,Bizans İmparatorluğu (I. Manuel),,Meydan Muharebesi,Yüksek,Bizans'ın Anadolu'yu geri alma umudunun sona ermesi,
21,Kösedağ Savaşı,Battle of Kose Dag,1243,641,39.75,37.08,"Kösedağ, Sivas",94,Mağlup,Moğol İmparatorluğu (Baycu Noyan),,Meydan Muharebesi,Kritik,Anadolu Selçukluları Moğol vasalı oldu,
22,Bağdat'ın Düşüşü,Fall of Baghdad,1258,656,33.31,44.37,"Bağdat, Irak",3,Mağlup,Moğol İmparatorluğu (Hülâgü),,Kuşatma,Kritik,Abbâsî Halifeliği'nin sonu; İslam medeniyetinin büyük kayıpları,
23,Ayn Câlût Savaşı (tekrar),Battle of Ain Jalut,1260,658,32.56,35.32,"Ayncelût, Filistin",31,Galip,133,Mağlup,Meydan Muharebesi,Kritik,Moğol ilerleyişi durdu; Memlûkler İslam dünyasının savunucusu,
24,Ankara Savaşı,Battle of Ankara,1402,804,39.93,32.85,"Ankara, Anadolu",130,Mağlup,Timur İmparatorluğu,,Meydan Muharebesi,Kritik,Yıldırım Bayezid esir; Osmanlı Fetret Devri başladı,
25,Varna Savaşı,Battle of Varna,1444,848,43.2,27.92,"Varna, Bulgaristan",130,Galip,Haçlı İttifakı (III. Vladislav),,Meydan Muharebesi,Yüksek,Osmanlı Balkan hakimiyetinin pekişmesi,
26,İstanbul'un Fethi,Fall of Constantinople,1453,857,41.01,28.98,İstanbul (Konstantinopolis),130,Galip,Bizans İmparatorluğu (XI. Konstantinos),,Kuşatma,Kritik,Bizans'ın sonu; Osmanlı'nın dünya gücü olması,
27,Çaldıran Savaşı,Battle of Chaldiran,1514,920,39.07,44.08,"Çaldıran, Van",130,Galip,148,Mağlup,Meydan Muharebesi,Kritik,Osmanlı-Safevî sınırı belirlendi; ateşli silahların üstünlüğü,
28,Mercidâbık Savaşı,Battle of Marj Dabiq,1516,922,36.57,37.05,"Mercidâbık, Halep kuzeyi",130,Galip,31,Mağlup,Meydan Muharebesi,Kritik,Osmanlı Memlûk topraklarını fethetti; hilafet Osmanlı'ya geçti,
29,Ridâniye Savaşı,Battle of Ridaniya,1517,923,30.06,31.28,"Ridâniye, Kahire yakını",130,Galip,31,Mağlup,Meydan Muharebesi,Yüksek,Memlûk Sultanlığı'nın kesin yıkılışı,
30,Mohaç Savaşı,Battle of Mohacs,1526,932,45.96,18.68,"Mohaç, Macaristan",130,Galip,Macar Krallığı (II. Lajos),,Meydan Muharebesi,Kritik,Macaristan'ın Osmanlı hakimiyetine girmesi,
31,I. Panipat Savaşı,First Battle of Panipat,1526,932,29.39,76.97,"Panipat, Hindistan",175,Galip,160,Mağlup,Meydan Muharebesi,Kritik,Bâbür'ün Delhi Sultanlığı'nı yıkıp Bâbürlü İmparatorluğu'nu kurması,
32,Talikota Savaşı,Battle of Talikota,1565,972,16.04,76.29,"Talikota, Dekkan",165,Galip,Vijayanagara İmparatorluğu,,Meydan Muharebesi,Kritik,Dekkan sultanlarının koalisyon zaferi; Vijayanagara'nın sonu,
33,Plassey Savaşı,Battle of Plassey,1757,1170,23.8,88.26,"Plassey, Bengal",,,Britanya (Clive),,Meydan Muharebesi,Kritik,İngiliz sömürge döneminin başlangıcı; Bengal'in kaybı,
34,III. Panipat Savaşı,Third Battle of Panipat,1761,1174,29.39,76.97,"Panipat, Hindistan",152,Galip,Maratha İmparatorluğu,,Meydan Muharebesi,Yüksek,Dürrânîlerin Hindistan'daki son büyük zaferi; Maratha gücünün kırılması,
35,Las Navas de Tolosa Savaşı,Battle of Las Navas de Tolosa,1212,609,38.29,-3.58,"Las Navas de Tolosa, İspanya",15,Mağlup,İspanyol Hristiyan Koalisyonu,,Meydan Muharebesi,Kritik,Muvahhidlerin büyük yenilgisi; Reconquista'nın dönüm noktası,
36,Gırnata'nın Düşüşü,Fall of Granada,1492,897,37.18,-3.59,"Gırnata (Granada), İspanya",7,Mağlup,Kastilya-Aragon (Fernando & Isabella),,Kuşatma,Kritik,İslam'ın İber Yarımadası'ndan çıkışı; Reconquista'nın sonu,
37,Lepanto (İnebahtı) Savaşı,Battle of Lepanto,1571,979,38.2,21.37,"İnebahtı, Yunanistan",130,Mağlup,Kutsal İttifak (Don Juan),,Deniz Savaşı,Yüksek,Osmanlı donanmasının ağır kaybı; Akdeniz hakimiyetinde dönüm noktası,
38,II. Viyana Kuşatması,Battle of Vienna (1683),1683,1094,48.21,16.37,"Viyana, Avusturya",130,Mağlup,Habsburg + Lehistan (Jan Sobieski),,Kuşatma,Kritik,Osmanlı Avrupa'daki en ileri noktasından geri çekilmeye başladı,
